source,subject,playlist_id
MIT,Introduction to Computer Science and Programming,PLB2BE3D6CA77BB8F7
MIT,Mathematics for Computer Science,PLUl4u3cNGP61VNvICqk2HXJTonnKgAc9d
MIT,Introduction to Algorithms,PLUl4u3cNGP63EdVPNLG3ToM6LaEUuStEY
MIT,Fundamentals of Systems Engineering,PLUl4u3cNGP60jIMmB53zl6awCKMnABhYx
MIT,Introduction to CS and Programming using Python,PLUl4u3cNGP62A-ynp6v6-LGBCzeH3VAQB
MIT,Artificial Intelligence,PLUl4u3cNGP63gFHB6xb-kVBiQHYe_4hSi
MIT,Distributed Systems,PLrw6a1wE39_tb2fErI4-WkMbsvGQk9_UB
Stanford,Machine Learning,PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU
Stanford,Deep Learning for Computer Vision,PLoROMvodv4rOmsNzYBMe0gJY2XS8AQg16
Stanford,NLP with Deep Learning,PLoROMvodv4rMFqRtEuo6SGjY4XbRIVRd4
Stanford,Artificial Intelligence,PLoROMvodv4rO1NB9TD4iUZ3qghGEGtqNX
Stanford,Deep Learning,PLoROMvodv4rOABXSygHTsbvUz4G_YQhOb
Stanford,Reinforcement Learning,PLoROMvodv4rN4wG6Nk6sNpTEbuOSosZdX
Stanford,Language Modeling from Scratch,PLoROMvodv4rOY23Y0BoGoBGgQ1zmU_MT_
Stanford,Probability for Computer Scientists,PLoROMvodv4rOpr_A7B9SriE_iZmkanvUg
Stanford,Introduction to Computers,PLoROMvodv4rPzLcXBhbCFt8ahPrQGFSmN
Stanford,Algorithms I,PLXFMmlk03Dt7Q0xr1PIAriY5623cKiH7V
Harvard,CS50,PLhQjrBD2T383q7Vn8QnTsVgSvyLpsqL_R
Neural Networks: Zero to Hero,PLAqhIrjkxbuWI23v9cThsA9GvCAUhRvKZ
YC/Stanford,How To Start A Startup,PL11qn6zM2Y3bMZdChxEqHKaCaKUjwItGL
YC,AI Startup School,PLQ-uHSnFig5NPx4adxl97CZb8vU4numwi
YC,Startup School,PLQ-uHSnFig5M9fW16o2l35jrfdsxGknNB

